"","weekday_sun","temp","dewp","NUM_COLLISIONS"
"639",6,65,63.4,0.614754098360656
"640",7,63.2,59.7,0.740437158469945
"641",2,62.7,58.8,0.319672131147541
"642",1,56,45.2,0.289617486338798
"643",3,49,32.4,0.584699453551913
"644",4,57.7,52.3,0.628415300546448
"645",5,57,55.4,0.904371584699454
"646",6,59.5,57,0.715846994535519
"647",7,54.3,51.1,0.797814207650273
"648",2,54.7,45.9,0.377049180327869
"649",1,57.6,45.4,0.377049180327869
"650",3,54.1,40.5,0.724043715846995
"651",4,54.3,48,0.530054644808743
"652",5,61.9,59,0.489071038251366
"653",6,56.1,45,0.680327868852459
"654",7,51.3,43.6,0.795081967213115
"655",2,53,46.9,0.762295081967213
"656",1,43.5,38.4,0.423497267759563
"657",3,44.6,20.6,0.677595628415301
"658",4,52.7,37.7,0.439890710382514
"659",5,57.7,52.4,0.483606557377049
"660",6,53.6,48.7,0.751366120218579
"661",7,52.5,46.7,0.721311475409836
"662",2,43.9,29.7,0.453551912568306
"663",1,53.2,42.7,0.114754098360656
"664",3,48.2,42.2,0.5
"665",4,51,47.2,0.316939890710383
"666",5,56.5,53.5,0.461748633879781
"667",6,49.8,41.1,0.871584699453552
"668",7,43.7,34.9,0.756830601092896
"669",2,37,20.6,0.415300546448087
"670",1,38.1,26,0.14207650273224
"671",3,52.1,48.9,0.789617486338798
"672",4,48.9,39.6,0.915300546448087
"673",5,33.6,14.6,0.699453551912568
"674",6,45.7,32.6,0.704918032786885
